icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,fetch_time
4ab569,AUA283G ,Sweden,1764668078,1764668078,12.6706,51.4518,1684.02,False,118.09,266.0,-6.18,,1706.88,2413,False,0,2025-12-02 09:34:39+00:00
4ca5c6,EIN124  ,Ireland,1764668078,1764668078,-6.2456,53.4245,,True,6.69,61.88,,,,3623,False,0,2025-12-02 09:34:39+00:00
3c48e8,LHX9CJ  ,Germany,1764668078,1764668078,11.9648,48.4633,1775.46,False,131.52,83.49,-2.6,,1836.42,1251,False,0,2025-12-02 09:34:39+00:00
501c25,CTN5NL  ,Croatia,1764668078,1764668078,4.7237,52.49,670.56,False,77.79,183.03,0.0,,640.08,1000,False,0,2025-12-02 09:34:39+00:00
e49539,AZU8754 ,Brazil,1764668078,1764668078,-5.6025,38.4457,11986.26,False,255.16,32.57,-11.05,,12024.36,6265,False,0,2025-12-02 09:34:39+00:00
4d0221,SVW29VM ,Luxembourg,1764668077,1764668077,5.4371,46.8192,1706.88,False,140.96,330.72,-7.15,,1737.36,1000,False,0,2025-12-02 09:34:39+00:00
3c48eb,LHX1UJ  ,Germany,1764668078,1764668078,19.8699,46.3402,10660.38,False,224.55,116.1,-0.33,,10607.04,1000,False,0,2025-12-02 09:34:39+00:00
4866df,TRA22B  ,Kingdom of the Netherlands,1764668078,1764668078,26.8703,39.7873,11887.2,False,239.74,135.61,0.0,,11978.64,0147,False,0,2025-12-02 09:34:39+00:00
4ab56b,AUA63A  ,Sweden,1764668079,1764668079,16.988,48.1111,3002.28,False,107.09,67.99,5.85,,3048.0,,False,0,2025-12-02 09:34:39+00:00
4ab56c,SAS756  ,Sweden,1764668078,1764668078,17.9474,54.4889,2537.46,False,108.19,288.87,3.58,,2552.7,,False,0,2025-12-02 09:34:39+00:00
49130a,NJE949H ,Portugal,1764668078,1764668078,12.5831,48.2497,12496.8,False,200.61,42.61,0.33,,12420.6,1000,False,0,2025-12-02 09:34:39+00:00
4ab56e,SAS2130 ,Sweden,1764668078,1764668078,14.701,57.5069,5181.6,False,155.39,50.78,0.0,,5158.74,0452,False,0,2025-12-02 09:34:39+00:00
496cb1,FM075   ,Portugal,1764668077,1764668077,-7.9725,37.0189,,True,2.83,267.19,,,,,False,0,2025-12-02 09:34:39+00:00
4078ae,EXS89JB ,United Kingdom,1764668077,1764668078,-9.2611,51.0489,10972.8,False,219.54,219.77,0.0,,10561.32,1517,False,0,2025-12-02 09:34:39+00:00
491312,NJE988B ,Portugal,1764668078,1764668078,3.7055,52.4903,12496.8,False,227.27,74.64,-0.65,,12275.82,5272,False,0,2025-12-02 09:34:39+00:00
